Function,Best,Median,Mean,Worst,SD
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5,1.41E+01,2.04E+01,2.05E+01,2.73E+01,2.99E+00
6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
7,2.33E+01,3.08E+01,3.06E+01,3.89E+01,3.22E+00
8,9.35E+00,2.03E+01,2.06E+01,2.86E+01,4.15E+00
9,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
10,6.95E+02,1.02E+03,1.02E+03,1.33E+03,1.59E+02
11,0.00E+00,0.00E+00,0.00E+00,6.14E-07,0.00E+00
12,7.98E+00,1.42E+02,1.22E+02,2.70E+02,7.55E+01
13,9.78E-01,7.63E+00,7.41E+00,9.03E+00,1.61E+00
14,5.77E-01,9.26E+00,9.24E+00,1.70E+01,3.80E+00
15,1.71E-03,2.62E-01,2.66E-01,5.00E-01,2.03E-01
16,2.77E-01,1.16E+00,4.65E+00,1.19E+01,4.92E+00
17,3.99E-01,7.86E+00,1.00E+01,2.99E+01,7.55E+00
18,2.22E-02,3.01E-01,6.03E-01,1.69E+01,2.31E+00
19,8.77E-03,2.30E-02,3.37E-02,1.17E-01,2.56E-02
20,3.13E-01,3.23E-01,8.91E-01,2.07E+01,2.84E+00
21,1.00E+02,2.19E+02,1.75E+02,2.29E+02,5.79E+01
22,1.00E+02,1.00E+02,1.00E+02,1.00E+02,7.71E-02
23,3.09E+02,3.17E+02,3.17E+02,3.26E+02,3.71E+00
24,1.00E+02,3.49E+02,3.31E+02,3.57E+02,5.03E+01
25,3.98E+02,3.98E+02,4.17E+02,4.46E+02,2.16E+01
26,3.00E+02,3.00E+02,3.00E+02,3.00E+02,0.00E+00
27,3.89E+02,3.90E+02,3.89E+02,3.90E+02,1.93E-01
28,3.00E+02,3.00E+02,3.02E+02,3.90E+02,1.26E+01
29,2.35E+02,2.49E+02,2.49E+02,2.62E+02,5.66E+00
30,3.95E+02,4.64E+02,4.49E+02,5.01E+02,3.48E+01
