Function,Best,Median,Mean,Worst,SD
1,2.28E+00,9.14E+02,1.35E+03,4.31E+03,1.31E+03
3,5.26E+02,3.21E+03,3.39E+03,7.97E+03,1.60E+03
4,1.42E-03,7.13E+01,8.11E+01,1.45E+02,4.76E+01
5,2.96E+02,3.25E+02,3.25E+02,3.50E+02,1.10E+01
6,3.00E-07,2.80E-06,3.93E-06,2.59E-05,4.53E-06
7,3.36E+02,3.69E+02,3.68E+02,3.89E+02,1.21E+01
8,2.72E+02,3.26E+02,3.24E+02,3.45E+02,1.22E+01
9,0.00E+00,0.00E+00,9.60E-02,1.82E+00,2.99E-01
10,1.15E+04,1.30E+04,1.29E+04,1.35E+04,3.93E+02
11,2.13E+01,2.85E+01,3.24E+01,1.24E+02,1.79E+01
12,2.10E+03,8.28E+03,1.15E+04,6.66E+04,1.07E+04
13,6.19E+01,1.05E+03,2.50E+03,1.26E+04,3.19E+03
14,3.80E+01,7.93E+01,1.01E+02,2.16E+02,5.02E+01
15,2.31E+01,3.99E+01,4.43E+01,1.43E+02,1.84E+01
16,4.15E+02,2.13E+03,1.99E+03,2.70E+03,4.60E+02
17,2.23E+02,1.38E+03,1.34E+03,1.65E+03,2.26E+02
18,1.71E+02,6.80E+02,8.87E+02,5.74E+03,8.52E+02
19,1.37E+01,2.89E+01,3.77E+01,7.58E+01,1.73E+01
20,1.05E+03,1.37E+03,1.37E+03,1.65E+03,1.35E+02
21,4.58E+02,5.20E+02,5.16E+02,5.40E+02,1.74E+01
22,1.00E+02,1.30E+04,1.20E+04,1.36E+04,3.49E+03
23,4.20E+02,4.93E+02,5.69E+02,7.53E+02,1.32E+02
24,5.02E+02,7.76E+02,6.84E+02,8.22E+02,1.36E+02
25,4.61E+02,5.63E+02,5.53E+02,6.09E+02,3.82E+01
26,1.08E+03,1.28E+03,1.27E+03,1.53E+03,9.12E+01
27,5.03E+02,5.62E+02,5.96E+02,8.15E+02,7.94E+01
28,4.59E+02,4.97E+02,5.00E+02,5.89E+02,2.65E+01
29,3.27E+02,3.54E+02,3.62E+02,4.72E+02,2.56E+01
30,5.83E+05,5.95E+05,6.04E+05,6.80E+05,2.50E+04
